Code,Country,Description,Rate
32,Belgium,,0
3217,Belgium,Premium,0
3218,Belgium,Premium,0
322,Belgium,Brussels,0
323,Belgium,Antwerp,0
3244,Belgium,Premium,0
3245,Belgium,Premium,0
32460,Belgium,Cellular Proximus,0
324630,Belgium,Cellular Others,0
324660,Belgium,Cellular Others,0
324661,Belgium,Cellular Others,0
324662,Belgium,Cellular Others,0
324681,Belgium,Cellular Telenet,0
324682,Belgium,Cellular Telenet,0
324683,Belgium,Cellular Telenet,0
3247,Belgium,Cellular Proximus,0
3248,Belgium,Cellular Base,0
3249,Belgium,Cellular Mobistar,0
3270,Belgium,Premium,0
32702,Belgium,Universal Access,0
32703,Belgium,Universal Access,0
32704,Belgium,Universal Access,0
32706,Belgium,Universal Access,0
32707,Belgium,Universal Access,0
3272,Belgium,Premium,0
3273,Belgium,Premium,0
3275,Belgium,Premium,0
3277,Belgium,Premium,0
3290,Belgium,Premium,0
3295,Belgium,Premium,0
3296,Belgium,Premium,0
501,Belize,,0
5012,Belize,Belize City,0
5016,Belize,Cellular,0
50166,Belize,Cellular Speednet,0
50167,Belize,Cellular Speednet,0
229,Benin,,0
22964,Benin,Cellular Moov,0
22965,Benin,Cellular Moov,0
22966,Benin,Cellular MTN,0
22967,Benin,Cellular MTN,0
22968,Benin,Cellular Globacom,0
2299,Benin,Cellular,0
22990,Benin,Cellular Libercom,0
22992,Benin,Cellular BBCom,0
22993,Benin,Cellular BBCom,0
22994,Benin,Cellular Moov,0
22995,Benin,Cellular Moov,0
22996,Benin,Cellular MTN,0
22997,Benin,Cellular MTN,0
22998,Benin,Cellular Globacom,0
22999,Benin,Cellular Globacom,0
1441,Bermuda,,0
14413,Bermuda,Cellular,0
144150,Bermuda,Cellular,0
144151,Bermuda,Cellular,0
144152,Bermuda,Cellular,0
144153,Bermuda,Cellular,0
1441590,Bermuda,Cellular,0
1441599,Bermuda,Cellular,0
14417,Bermuda,Cellular,0
975,Bhutan,,0
97516,Bhutan,Cellular,0
97517,Bhutan,Cellular,0
97577,Bhutan,Cellular,0
97593,Bhutan,Cellular,0
97594,Bhutan,Cellular,0
97595,Bhutan,Cellular,0
97596,Bhutan,Cellular,0
97597,Bhutan,Cellular,0
97598,Bhutan,Cellular,0
97599,Bhutan,Cellular,0
591,Bolivia,,0
59122,Bolivia,La Paz,0
5912213,Bolivia,La Paz Rural,0
59122598,Bolivia,La Paz Rural,0
59122895,Bolivia,La Paz Rural,0
59122896,Bolivia,La Paz Rural,0
59122897,Bolivia,La Paz Rural,0
59122898,Bolivia,La Paz Rural,0
59122899,Bolivia,La Paz Rural,0
5912500,Bolivia,Cities,0
5912510,Bolivia,Cities,0
5912511,Bolivia,Cities,0
5912512,Bolivia,Cities,0
5912513,Bolivia,Rural,0
59125130,Bolivia,Cities,0
59125131,Bolivia,Cities,0
5912514,Bolivia,Cities,0
59125176,Bolivia,Cities,0
59125177,Bolivia,Cities,0
59125188,Bolivia,Cities,0
59125189,Bolivia,Cities,0
59125190,Bolivia,Cities,0
59125191,Bolivia,Cities,0
591251991,Bolivia,Cities,0
591251992,Bolivia,Cities,0
591251993,Bolivia,Cities,0
591251994,Bolivia,Cities,0
591251995,Bolivia,Rural,0
591251996,Bolivia,Rural,0
591251997,Bolivia,Rural,0
591251998,Bolivia,Rural,0
591251999,Bolivia,Rural,0
5912520,Bolivia,Cities,0
5912521,Bolivia,Cities,0
5912522,Bolivia,Cities,0
5912523,Bolivia,Cities,0
5912524,Bolivia,Cities,0
5912525,Bolivia,Cities,0
5912526,Bolivia,Cities,0
5912527,Bolivia,Cities,0
5912528,Bolivia,Cities,0
59125290,Bolivia,Rural,0
59125291,Bolivia,Cities,0
59125292,Bolivia,Cities,0
59125293,Bolivia,Cities,0
59125294,Bolivia,Cities,0
59125295,Bolivia,Cities,0
59125296,Bolivia,Cities,0
59125297,Bolivia,Cities,0
59125298,Bolivia,Cities,0
59125299,Bolivia,Cities,0
59125300,Bolivia,Cities,0
59125301,Bolivia,Cities,0
59125302,Bolivia,Rural,0
59125303,Bolivia,Cities,0
59125304,Bolivia,Cities,0
59125305,Bolivia,Cities,0
59125306,Bolivia,Cities,0
59125307,Bolivia,Cities,0
59125308,Bolivia,Cities,0
59125309,Bolivia,Cities,0
59125310,Bolivia,Cities,0
59125311,Bolivia,Cities,0
59125312,Bolivia,Cities,0
59125313,Bolivia,Cities,0
59125314,Bolivia,Cities,0
59125315,Bolivia,Rural,0
59125316,Bolivia,Rural,0
59125317,Bolivia,Rural,0
59125318,Bolivia,Rural,0
59125319,Bolivia,Rural,0
5912532,Bolivia,Rural,0
5912533,Bolivia,Rural,0
5912534,Bolivia,Rural,0
5912535,Bolivia,Rural,0
5912536,Bolivia,Rural,0
5912537,Bolivia,Rural,0
5912538,Bolivia,Rural,0
5912539,Bolivia,Rural,0
5912542,Bolivia,Rural,0
5912543,Bolivia,Rural,0
5912544,Bolivia,Rural,0
5912545,Bolivia,Rural,0
5912546,Bolivia,Rural,0
5912552,Bolivia,Rural,0
5912553,Bolivia,Rural,0
5912554,Bolivia,Rural,0
5912555,Bolivia,Rural,0
5912556,Bolivia,Rural,0
5912557,Bolivia,Rural,0
5912558,Bolivia,Rural,0
5912582,Bolivia,Rural,0
5912583,Bolivia,Rural,0
5912585,Bolivia,Rural,0
5912586,Bolivia,Rural,0
5912591,Bolivia,Rural,0
5912595,Bolivia,Rural,0
5912596,Bolivia,Rural,0
5912597,Bolivia,Rural,0
5912600,Bolivia,Cities,0
59126052,Bolivia,Cities,0
59126053,Bolivia,Cities,0
5912610,Bolivia,Cities,0
5912611,Bolivia,Cities,0
5912612,Bolivia,Cities,0
59126130,Bolivia,Cities,0
59126131,Bolivia,Cities,0
59126132,Bolivia,Rural,0
59126133,Bolivia,Rural,0
59126134,Bolivia,Rural,0
59126135,Bolivia,Rural,0
59126136,Bolivia,Rural,0
59126137,Bolivia,Rural,0
59126138,Bolivia,Rural,0
59126139,Bolivia,Rural,0
5912614,Bolivia,Cities,0
59126178,Bolivia,Cities,0
59126179,Bolivia,Cities,0
5912618,Bolivia,Cities,0
59126190,Bolivia,Cities,0
59126191,Bolivia,Cities,0
59126192,Bolivia,Rural,0
59126198,Bolivia,Rural,0
59126199,Bolivia,Rural,0
59126211,Bolivia,Cities,0
59126212,Bolivia,Cities,0
59126214,Bolivia,Rural,0
59126215,Bolivia,Rural,0
59126216,Bolivia,Rural,0
59126217,Bolivia,Rural,0
59126218,Bolivia,Rural,0
59126219,Bolivia,Rural,0
5912622,Bolivia,Cities,0
5912623,Bolivia,Cities,0
5912624,Bolivia,Cities,0
5912625,Bolivia,Cities,0
5912626,Bolivia,Cities,0
5912627,Bolivia,Cities,0
5912628,Bolivia,Cities,0
59126302,Bolivia,Rural,0
59126310,Bolivia,Cities,0
59126311,Bolivia,Cities,0
59126312,Bolivia,Cities,0
59126313,Bolivia,Cities,0
59126314,Bolivia,Cities,0
59126315,Bolivia,Rural,0
59126316,Bolivia,Rural,0
59126317,Bolivia,Rural,0
59126318,Bolivia,Rural,0
59126319,Bolivia,Rural,0
59126320,Bolivia,Rural,0
59126321,Bolivia,Rural,0
59126331,Bolivia,Rural,0
59126340,Bolivia,Rural,0
5912635,Bolivia,Rural,0
5912636,Bolivia,Rural,0
5912637,Bolivia,Rural,0
5912638,Bolivia,Rural,0
5912639,Bolivia,Rural,0
5912692,Bolivia,Rural,0
5912693,Bolivia,Rural,0
5912694,Bolivia,Rural,0
5912696,Bolivia,Rural,0
5912697,Bolivia,Rural,0
5912820,Bolivia,Rural,0
5912821,Bolivia,Rural,0
59128232,Bolivia,Rural,0
59128233,Bolivia,Rural,0
59128234,Bolivia,Rural,0
5912824,Bolivia,Rural,0
59128257,Bolivia,Rural,0
59128350,Bolivia,Rural,0
5912839,Bolivia,Rural,0
5912862,Bolivia,Rural,0
59128702,Bolivia,Rural,0
59128710,Bolivia,Rural,0
59128711,Bolivia,Rural,0
59128712,Bolivia,Rural,0
59128713,Bolivia,Rural,0
59128714,Bolivia,Rural,0
59128720,Bolivia,Rural,0
59128721,Bolivia,Rural,0
59128731,Bolivia,Rural,0
59128740,Bolivia,Rural,0
5912875,Bolivia,Rural,0
5912878,Bolivia,Rural,0
5912879,Bolivia,Rural,0
59133,Bolivia,Santa Cruz,0
5913313,Bolivia,Santa Cruz Rural,0
5913323,Bolivia,Santa Cruz Rural,0
59133760,Bolivia,Santa Cruz Rural,0
59133761,Bolivia,Santa Cruz Rural,0
59133762,Bolivia,Santa Cruz Rural,0
591338228,Bolivia,Santa Cruz Rural,0
591338229,Bolivia,Santa Cruz Rural,0
59133823,Bolivia,Santa Cruz Rural,0
591338408,Bolivia,Santa Cruz Rural,0
591338409,Bolivia,Santa Cruz Rural,0
591338418,Bolivia,Santa Cruz Rural,0
591338419,Bolivia,Santa Cruz Rural,0
591338528,Bolivia,Santa Cruz Rural,0
591338529,Bolivia,Santa Cruz Rural,0
591338538,Bolivia,Santa Cruz Rural,0
591338539,Bolivia,Santa Cruz Rural,0
591338838,Bolivia,Santa Cruz Rural,0
591338839,Bolivia,Santa Cruz Rural,0
59133884,Bolivia,Santa Cruz Rural,0
5913400,Bolivia,Santa Cruz,0
5913401,Bolivia,Santa Cruz,0
5913402,Bolivia,Santa Cruz,0
5913403,Bolivia,Santa Cruz,0
5913404,Bolivia,Santa Cruz,0
5913405,Bolivia,Santa Cruz,0
5913406,Bolivia,Santa Cruz,0
5913407,Bolivia,Santa Cruz,0
5913408,Bolivia,Santa Cruz,0
5913410,Bolivia,Rural,0
59134150,Bolivia,Cities,0
59134151,Bolivia,Cities,0
59134155,Bolivia,Rural,0
59134156,Bolivia,Rural,0
59134157,Bolivia,Rural,0
59134158,Bolivia,Rural,0
59134159,Bolivia,Rural,0
59134160,Bolivia,Rural,0
5913420,Bolivia,Cities,0
5913421,Bolivia,Cities,0
59134220,Bolivia,Cities,0
59134221,Bolivia,Cities,0
59134225,Bolivia,Rural,0
59134226,Bolivia,Rural,0
59134227,Bolivia,Rural,0
59134228,Bolivia,Rural,0
59134229,Bolivia,Rural,0
5913462,Bolivia,Cities,0
5913463,Bolivia,Cities,0
5913464,Bolivia,Cities,0
5913465,Bolivia,Rural,0
59134656,Bolivia,Cities,0
59134657,Bolivia,Cities,0
5913466,Bolivia,Cities,0
5913467,Bolivia,Cities,0
59134702,Bolivia,Rural,0
59134710,Bolivia,Cities,0
59134711,Bolivia,Cities,0
59134712,Bolivia,Cities,0
59134713,Bolivia,Cities,0
59134714,Bolivia,Cities,0
59134715,Bolivia,Rural,0
59134716,Bolivia,Rural,0
59134717,Bolivia,Rural,0
59134718,Bolivia,Rural,0
59134719,Bolivia,Rural,0
5913472,Bolivia,Rural,0
5913473,Bolivia,Rural,0
5913474,Bolivia,Rural,0
5913475,Bolivia,Rural,0
5913476,Bolivia,Rural,0
5913477,Bolivia,Rural,0
5913478,Bolivia,Rural,0
5913479,Bolivia,Rural,0
5913482,Bolivia,Rural,0
5913483,Bolivia,Rural,0
5913484,Bolivia,Rural,0
5913485,Bolivia,Rural,0
59136477,Bolivia,Rural,0
5913825,Bolivia,Rural,0
5913826,Bolivia,Rural,0
5913830,Bolivia,Rural,0
59138310,Bolivia,Cities,0
59138311,Bolivia,Cities,0
59138312,Bolivia,Cities,0
59138313,Bolivia,Cities,0
59138314,Bolivia,Cities,0
59138315,Bolivia,Rural,0
59138316,Bolivia,Rural,0
59138317,Bolivia,Rural,0
59138318,Bolivia,Rural,0
59138319,Bolivia,Rural,0
5913832,Bolivia,Rural,0
5913833,Bolivia,Rural,0
5913834,Bolivia,Rural,0
5913835,Bolivia,Rural,0
59138397,Bolivia,Rural,0
59138398,Bolivia,Rural,0
59138399,Bolivia,Rural,0
59138420,Bolivia,Cities,0
59138421,Bolivia,Cities,0
59138422,Bolivia,Cities,0
59138423,Bolivia,Cities,0
59138424,Bolivia,Cities,0
59138425,Bolivia,Cities,0
59138426,Bolivia,Cities,0
59138427,Bolivia,Cities,0
591384290,Bolivia,Rural,0
591384291,Bolivia,Cities,0
591384292,Bolivia,Cities,0
591384293,Bolivia,Rural,0
591384294,Bolivia,Rural,0
591384295,Bolivia,Rural,0
591384296,Bolivia,Cities,0
591384297,Bolivia,Cities,0
591384298,Bolivia,Cities,0
591384299,Bolivia,Rural,0
59138430,Bolivia,Rural,0
59138431,Bolivia,Rural,0
59138439,Bolivia,Cities,0
5913844,Bolivia,Cities,0
5913845,Bolivia,Cities,0
5913846,Bolivia,Cities,0
5913847,Bolivia,Cities,0
5913850,Bolivia,Cities,0
5913851,Bolivia,Rural,0
59138522,Bolivia,Rural,0
59138523,Bolivia,Rural,0
59138524,Bolivia,Rural,0
59138525,Bolivia,Rural,0
59138526,Bolivia,Rural,0
5913854,Bolivia,Rural,0
5913855,Bolivia,Rural,0
5913856,Bolivia,Rural,0
5913857,Bolivia,Rural,0
5913886,Bolivia,Rural,0
5913887,Bolivia,Rural,0
5913891,Bolivia,Rural,0
5913892,Bolivia,Rural,0
5913895,Bolivia,Rural,0
5913896,Bolivia,Rural,0
59139,Bolivia,Santa Cruz,0
